id,title,vulnerability_type,category,context,description,impact,recommended_mitigation
1,SQL Injection in login form,SQL Injection,Injection,login form,The login form allows attacker to extract credentials because of sql injection vulnerabilities.,allows attacker to extract credentials,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate sql injection in the login form."
2,Cross-Site Scripting in support ticket API,Cross-Site Scripting,XSS,support ticket API,The support ticket API permits privilege escalation because of cross-site scripting vulnerabilities.,permits privilege escalation,"Implement robust xss controls, validate inputs, and apply defense-in-depth to mitigate cross-site scripting in the support ticket API."
3,Cross-Site Request Forgery in payment callback,Cross-Site Request Forgery,CSRF,payment callback,The payment callback undermines integrity of transactions because of cross-site request forgery vulnerabilities.,undermines integrity of transactions,"Implement robust csrf controls, validate inputs, and apply defense-in-depth to mitigate cross-site request forgery in the payment callback."
4,Command Injection in image processing,Command Injection,Injection,image processing,The image processing enables lateral movement because of command injection vulnerabilities.,enables lateral movement,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate command injection in the image processing."
5,Server-Side Request Forgery in settings page,Server-Side Request Forgery,SSRF,settings page,The settings page reveals sensitive personal data because of server-side request forgery vulnerabilities.,reveals sensitive personal data,"Implement robust ssrf controls, validate inputs, and apply defense-in-depth to mitigate server-side request forgery in the settings page."
6,Insecure Direct Object Reference in internationalization service,Insecure Direct Object Reference,Broken Access Control,internationalization service,The internationalization service disrupts availability because of insecure direct object reference vulnerabilities.,disrupts availability,"Implement robust broken access control controls, validate inputs, and apply defense-in-depth to mitigate insecure direct object reference in the internationalization service."
7,Directory Traversal in shopping cart,Directory Traversal,Path Traversal,shopping cart,The shopping cart leads to data tampering because of directory traversal vulnerabilities.,leads to data tampering,"Implement robust path traversal controls, validate inputs, and apply defense-in-depth to mitigate directory traversal in the shopping cart."
8,XML External Entity in mobile API gateway,XML External Entity,XXE,mobile API gateway,The mobile API gateway enables remote code execution because of xml external entity vulnerabilities.,enables remote code execution,"Implement robust xxe controls, validate inputs, and apply defense-in-depth to mitigate xml external entity in the mobile API gateway."
9,Open Redirect in report export,Open Redirect,Injection,report export,The report export allows account takeover because of open redirect vulnerabilities.,allows account takeover,"Implement robust injection controls, validate inputs, and apply defense-in-depth to mitigate open redirect in the report export."
10,Authentication Bypass in order tracking,Authentication Bypass,Broken Access Control,order tracking,The order tracking exposes session tokens because of authentication bypass vulnerabilities.,exposes session tokens,"Implement robust broken access control controls, validate inputs, and apply defense-in-depth to mitigate authentication bypass in the order tracking."
